क्रस,प्रदेश,जिल्ला,जिल्ला समन्वय समिति,वेवसाईट,ईमेल,फोन,एक्सन
1.,प्रदेश नं. १,ताप्लेजुङ,जिल्ला समन्वय समिति ताप्लेजुङ्ग,http://dcctaplejung.gov.np,info@dcctaplejung.gov.np,024-460143,
2.,प्रदेश नं. १,पाँचथर,जिल्ला समन्वय समिति पाँचथर,http://dccpanchthar.gov.np,info@ddcpanchthar.gov.np,024-520120,
3.,प्रदेश नं. १,इलाम,जिल्ला समन्वय समिति इलाम,http://dccilam.gov.np,info@ddcilam.gov.np,027-521776,
4.,प्रदेश नं. १,झापा,जिल्ला समन्वय समिति झापा,http://dccjhapa.gov.np,info@ddcjhapa.gov.np,023-455034,
5.,प्रदेश नं. १,संखुवासभा,जिल्ला समन्वय समिति संखुवासभा,http://dccsankhuwasabha.gov.np,info@ddcsankhuwasabha.gov.np,029-560044,
6.,प्रदेश नं. १,तेह्रथुम,जिल्ला समन्वय समिति तेह्रथुम,http://dcctehrathum.gov.np,ddcttm@gmail.com,026-460143,
7.,प्रदेश नं. १,भोजपुर,जिल्ला समन्वय समिति भोजपुर,http://dccbhojpur.gov.np,info@ddcbhojpur.gov.np,029-420142,
8.,प्रदेश नं. १,धनकुटा,जिल्ला समन्वय समिति धनकुटा,http://dccdhankuta.gov.np,ddc.dhankuta.mofald@gmail.com,026-520053,
9.,प्रदेश नं. १,सुनसरी,जिल्ला समन्वय समिति सुनसरी,http://dccsunsari.gov.np,info@ddcsunsari.gov.np,025-560105,
10.,प्रदेश नं. १,मोरङ,जिल्ला समन्वय समिति मोरङ्ग,http://dccmorang.gov.np,info@ddcmorang.gov.np,021-524267,
11.,प्रदेश नं. १,सोलुखुम्बु,जिल्ला समन्वय समिति सोलुखम्बु,http://dccsolukhumbu.gov.np,ddcsolu@gmail.com,038-520144,
12.,प्रदेश नं. १,खोटाङ,जिल्ला समन्वय समिति खोटाङ्ग,http://dcckhotang.gov.np,mail.ddckhotang@gmail.com,036-420120,
