क्रस,प्रदेश,स्थानीय तहको नाम,जिल्ला,वेवसाईट,कार्यालयको ईमेल,सम्पर्क फोन,बिस्तृतमा
१,प्रदेश नं. १,फक्ताङलुङ गाउँपालिका,ताप्लेजुङ,http://phaktanglungmun.gov.np,phaktanglungmun@gmail.com,021-696491,
२,प्रदेश नं. १,मिक्वाखोला गाउँपालिका,ताप्लेजुङ,http://mikwakholamun.gov.np,info@mikwakholamun.gov.np,9742691943,
३,प्रदेश नं. १,मेरिङदेन गाउँपालिका,ताप्लेजुङ,http://meringdenmun.gov.np,meringden@gmail.com,9852660822,
४,प्रदेश नं. १,मैवाखोला गाउँपालिका,ताप्लेजुङ,http://maiwakholamun.gov.np,maiwakholarm@gmail.com,9852660937,
५,प्रदेश नं. १,आठराई त्रिवेणी गाउँपालिका,ताप्लेजुङ,http://aathraitribenimun.gov.np,aathrai.tribenimun@gmail.com,9852660960,
६,प्रदेश नं. १,फुङलिङ नगरपालिका,ताप्लेजुङ,http://phunglingmun.gov.np,info@phunglingmun.gov.np,024-460114,
७,प्रदेश नं. १,पाथिभरा याङ्वरक गाउँपालिका,ताप्लेजुङ,http://yangwarakmuntaplejung.gov.np,pathivarayang@gmail.com,9852660460,
८,प्रदेश नं. १,सिरीजङ्घा गाउँपालिका,ताप्लेजुङ,http://sirijanghamun.gov.np,sirijangharuralmunicipality@gmail.com,9861991144,
९,प्रदेश नं. १,सिदिङ्वा गाउँपालिका,ताप्लेजुङ,http://sidingbamun.gov.np,sidingbarmtpj@gmail.com,9852660153,
१०,प्रदेश नं. १,भोटखोला गाउँपालिका,संखुवासभा,http://bhotkholamun.gov.np,bhotkholamun@gmail.com,9752006670,
११,प्रदेश नं. १,मकालु गाउँपालिका,संखुवासभा,http://makalumun.gov.np,gaupalikamakalu@gmail.com,9752006670,
१२,प्रदेश नं. १,सिलीचोङ गाउँपालिका,संखुवासभा,http://silichongmun.gov.np,silichonggp74@gmail.com,9752006775,
१३,प्रदेश नं. १,चिचिला गाउँपालिका,संखुवासभा,http://chichilamun.gov.np,info@chichilamun.gov.np,021-620770,
१४,प्रदेश नं. १,सभापोखरी गाउँपालिका,संखुवासभा,http://savapokharimun.gov.np,savapokharimun@gmail.com,029-413090,
१५,प्रदेश नं. १,खाँदवारी नगरपालिका,संखुवासभा,http://khandbarimun.gov.np,info@khandbarimun.gov.np,029-560254,
१६,प्रदेश नं. १,पाँचखपन नगरपालिका,संखुवासभा,http://panchkhapanmun.gov.np,panchkhapan.mun@gmail.com,029-411083,
१७,प्रदेश नं. १,चैनपुर नगरपालिका,संखुवासभा,http://chainpurmun.gov.np,info@chainpurmun.gov.np,029-570131,
१८,प्रदेश नं. १,मादी नगरपालिका,संखुवासभा,http://madimun.gov.np,madimunicipality@gmail.com,029-424002,
१९,प्रदेश नं. १,धर्मदेवी नगरपालिका,संखुवासभा,http://dharmadevimun.gov.np,dharmadevimun@gmail.com,029-414006,
२०,प्रदेश नं. १,खुम्वु पासाङल्हामु गाउँपालिका,सोलुखुम्बु,http://khumbupasanglhamumun.gov.np,ito.khumbupasanglhamumun@gmail.com,038-420525,
२१,प्रदेश नं. १,माहाकुलुङ गाउँपालिका,सोलुखुम्बु,http://mahakulungmun.gov.np,mahakulung.rum@gmail.com,9852885000,
२२,प्रदेश नं. १,सोताङ गाउँपालिका,सोलुखुम्बु,http://sotangmun.gov.np,ito.sotangrmun@gmail.com,038-410124,
२३,प्रदेश नं. १,माप्य दुधकोशी गाउँपालिका,सोलुखुम्बु,http://mapyadudhkoshimun.gov.np,info@mapyadudhkoshimun.gov.np,9849478034,
२४,प्रदेश नं. १,थुलुङ दुधकोशी गाउँपालिका,सोलुखुम्बु,http://thulungdudhkoshimun.gov.np,info@thulungdudhkoshimun.gov.np,9852060365,
२५,प्रदेश नं. १,नेचासल्यान गाउँपालिका,सोलुखुम्बु,http://nechasalyanmun.gov.np,nechasalyan345@gmail.com,038-412277,
२६,प्रदेश नं. १,सोलुदुधकुण्ड नगरपालिका,सोलुखुम्बु,http://solududhkundamun.gov.np,info@solududhkundamun.gov.np,038-520264,
२७,प्रदेश नं. १,लिखु पिके गाउँपालिका,सोलुखुम्बु,http://likhupikemun.gov.np,info@likhupikemun.gov.np,025697455,
२८,प्रदेश नं. १,चिशंखुगढी गाउँपालिका,ओखलढुंगा,http://chishankhugadhimun.gov.np,info@chishankhugadhimun.gov.np,037-620075,
२९,प्रदेश नं. १,सिद्धिचरण नगरपालिका,ओखलढुंगा,http://siddhicharanmun.gov.np,siddhicharanmunicipality@gmail.com,037-520213,
३०,प्रदेश नं. १,मोलुङ गाउँपालिका,ओखलढुंगा,http://molungmun.gov.np,molungrm@gmail.com,9841535837,
३१,प्रदेश नं. १,खिजीदेम्वा गाउँपालिका,ओखलढुंगा,http://khijidembamun.gov.np,info@khijidembamun.gov.np,9743001361,
३२,प्रदेश नं. १,लिखु गाउँपालिका,ओखलढुंगा,http://likhumunokhaldhunga.gov.np,info@likhumunokhaldhunga.gov.np,9852842142,
३३,प्रदेश नं. १,चम्पादेवी गाउँपालिका,ओखलढुंगा,http://champadevimun.gov.np,ito.champadevimun@gmail.com,9851061684,
३४,प्रदेश नं. १,सुनकोशी गाउँपालिका,ओखलढुंगा,http://sunkoshimunokhaldhunga.gov.np,sunkoshee@gmail.com,9753000077,
३५,प्रदेश नं. १,मानेभञ्याङ गाउँपालिका,ओखलढुंगा,http://manebhanjyangmun.gov.np,info@manebhanjyangmun.gov.np,9851138219,
३६,प्रदेश नं. १,केपिलासगढी गाउँपालिका,खोटाङ,http://kepilasgadhimun.gov.np,kepilasmun@gmail.com,9849685297,
